Question,Answer
<b>결막염 증상</b>,"... 작년엔 다래끼+<b>결막염</b>으로 인해 20번 정도 안과에 갈 정도로 눈에 질병이 자주 걸리는 사람입니다. 렌즈 끼는것도... <b>결막염</b>에 걸린 확률이 높나요..?  안녕하세요. 대한의사협회·네이버 지식iN 상담의사 구형진 입니다. <b>결막염</b>, 각막염... "
사람마다 <b>결막염 증상</b> 세기?,제목 그대로 사람마다 <b>결막염</b>에 대한 <b>증상</b>이 심하거나 약할수있는건가요? 저희가족들 다 <b>결막염</b>왔을땐 눈 새빨갛게 충혈되고 간지럽고 엄청불편해했었는데 저는 그냥 조금 눈 간지럽고 충혈도 안되고 편안해서요.... 네. 다를수 있습니다.... 
알레르기성 <b>결막염</b>,"... 한달용말고 돈 더 쓰더라도 원데이로 쓰려고요ㅠㅠ 결막염에 결렸다고 하더라도 상태가 심하지 않는 경우에는 자연치유, 즉 회복이 되는 경우가 있을 수 있지만 매면 반복적으로 <b>결막염 증상</b>이 나타나게 되는 경우에는 최대한 렌즈를... "
기침과 <b>결막염</b>같은 <b>증상</b>인데 오미크론일까요,... 콧물과 <b>결막염</b>같은 <b>증상</b>뿐인데 일단 키트 음성뜨면 일상생활은 가능한걸로 알아서 단순 <b>결막염</b>일수도 있으니 안과 좀 다녀오고 싶은데 어머니는 밖에 절대 나가면 안된다고 그냥 참으래요 양성이면 격리하겠지만 이게 단순... 
<b>결막염 증상</b>,... 괜찮을까요? 질문상의 내용으로 봐서는 <b>결막염</b>이 맞습니다..의학명 <b>결막염</b>..사투리..다래끼 라고들 합니다..이런 <b>증상</b>은 주위의 사람들을 감염시키므로 반드시 안과를 가셔야합니다..심할경우 염증이 악화됩니다.. 
렌즈로 인한 <b>결막염</b>인데 전문가분들이 보셨을때 지금... ,"... 사진으로만 봤을 때에는 정확히 질문자님의 <b>결막염 증상</b>정도를 확인하기가 어렵습니다. 결막염 심각도 정도를 확인하기 위해서는 직접적인 진료가 필요합니다. 렌즈로 인한 결막염인 만큼 렌즈 착용은 절대적으로 중단하시며, 부종이... "
<b>결막염 증상</b>인가요?ㅠㅠ,"... 이거 <b>결막염</b>이에요?? 렌즈를 착용하다가 갑자기 눈이 빨개지는 경우는 착용한 렌즈와 눈사이에 눈썹이나 아주 작은... 일시적인 <b>증상</b>일수도 있습니다. 걱정이 되신다면, 안과에 한번 방문하시길 권해드립니다. 한가지 중요한것은 한번... "
<b>결막염</b>인가요?ㅠ,"... 네네 <b>결막염 증상</b> 중 하나 입니다., 눈꼽이 계속 난다는거 자체가 눈에 질병이 있을 확률이 높구요. 일단 렌즈 끼지 마시고, 안과가서 안약줄거에요., 안약 처방받아서 수시로 넣어주시고, 나아지면 렌즈는 새로 바꾸시는게 좋을 것... "
고양이 <b>결막염</b>인가요?,"... 고양이 <b>결막염 증상</b>에는 눈물을 자주 흘리거나 깜빡거리기, 평소보다 눈꼽이 자주 낄 수 있고 증상이 심해지면 눈이 붙어서 제대로 뜨기 어려울 수도 있답니다. 결막염이 의심되신다면 병원에 데려가셔서 검사 받아보심이... "
"알레르기 비염,피부염,<b>결막염</b>","... 특히나 질문자님은 비염 <b>증상</b>부터 나타나면서 <b>결막염</b>, 피부염 <b>증상</b>이 차례로 발생하신 것으로 보아 예전부터 몸 속에 면역력을 저하시키고 만성적인 염증반응을 유발하는 문제요인이 있어오셨을 것이 예상되므로, 피부 <b>증상</b>이... "
냥이가 <b>결막염</b> 초기<b>증상</b>이래요,... 그래도 냥이가 결막임이니까 약을 받아야겠어서 받아왔어요 제가 화도나지만 궁금한건요냥이 <b>결막염증상</b>이 맞는 건가요?걱정되서 찾아보니까 다른냥이는 눈한쪽을 못뜨고 껌벅임이심하다했는데저희냥은 껌벅임이 심해지고 눈이... 
"눈곱, 충혈 <b>증상</b> <b>결막염</b>",... <b>증상</b>인지도 생각해봤습니다. 그러나 오늘 아침에도 어제만큼은 아니지만 눈곱이 생기고 충혈도 그대로 있습니다. 눈은 아프지는 않지만 약간 시린 느낌이 납니다. 제가 현재 감기에 걸린 상태라서 면역력이 약화되어 있는데 <b>결막염</b>을... 
<b>결막염 증상</b>,"... 정말<b>결막염</b>인가요  안녕하세요. 안과전문의 김진국입니다. 기재해 주신 <b>증상</b>은 렌즈 부작용으로 보입니다. 렌즈 부작용으로 인해 충혈, 눈물흘림, 통증 등의 <b>증상</b>이 나타날 수 있습니다. 특히 저렴한 렌즈의 경우 불량 제조된 것일... "
<b>결막염</b> 비슷한 <b>증상</b>,"... <b>결막염</b>으로 많이 불편하실거 같네요ㅠㅠ <b>결막염</b>의 원인과 <b>증상</b> 및 치료 방법에는 여러가지가 있습니다 치료 방법에는 수술 없는 치료 방법과 수술을 통한 치료가 있는데요 제가 <b>결막염</b> 치료 방법과 원인, <b>증상</b>에 대해서 자세하게... "
<b>결막염</b> 렌즈,"... ㅠㅠ 그리고 결막염 걸렸을 때 꼈었던 렌즈 세척해서 다시 사용해도 될까요 결막염에 결렸다고 하더라도 상태가 심하지 않는 경우에는 자연치유, 즉 회복이 되는 경우가 있을 수 있지만 매면 반복적으로 <b>결막염 증상</b>이 나타나게 되는... "
강아지 <b>결막염 증상</b>이 무엇인가요?,강아지가 눈이 충열되고 눈을 잘 못뜨는데 <b>결막염 증상</b> 인가요?? 사진이 없어 정확한 확인은 어려우나 눈에 이물질이 들어가서 그렇거나 또는 환절기 바이러스인해 나타나는 현상으로 예상됩니다. 근처 동물병원 내원하셔서 정확한 진료... 
<b>결막염 증상</b> 알려주세요,"... <b>결막염 증상</b>은 뭔지 알려주세요  결막염 걸려봐서 아는데~ 이물감, 통증 뿐 아니라 간지럽구 충혈이 심하게 되요~~ 아직 결막염은 아닌거 같고.. 우선 약국 가셔서 눈물약 한번 넣어보시고~~ 결막염도 초기는 약국 약으로 치료가 되니... "
<b>결막염</b> 완치?,... 얼음찜질하면 붓기는 빠지는데 제 <b>결막염 증상</b>이 눈이 충혈되거나 눈곱이 끼거나 그런게 없고 눈두덩이가 간지럽기만 한건데 결막염이 다 나은걸 알수있는 방법이 안과가서 진료받는것 밖에 없나요ㅠㅠ? 근데 제가 눈 가까이에 2달 전... 
<b>결막염</b> 질문드립니다,... <b>결막염</b>마다 <b>증상</b> 및 치료 기간이 다른데 최소 2~3일 이상 꾸준히 점안해 주시는 것이 좋습니다. 꾸준히 점안해 보시고 <b>증상</b>의 개선이 보이지 않거나 악화됨을 느끼신다면 내원하셨던 안과에 방문하셔서 추가적인 검사 및 치료받는 것을... 
<b>결막염 증상</b>인가요?,... <b>결막염 증상</b>인가요? 눈충혈 같은 것도 없고 눈곱만 조금 끼는데. 병원가봐야하나요..  안녕하세요. 하이닥-네이버 지식iN 안과 상담의 우성욱 입니다. 렌즈를 오래 착용하면 눈이 건조해지고 눈물순환이 되지 않아 눈을 자극할 수... 
<b>결막염</b> 걸린지 9일됐습니다,... 그리고 저랑 같은증상인 가까운사람이있는데 분명히 한사람이 옮긴건 맞거든요 이게 무슨결막염인지도 궁금해요 알러지 <b>결막염 증상</b>이 아닙니다. 유행성 각결막염의 잠복기는 대개 ５~７일인데 보통 감염 후 ３일이면 눈물과 눈곱 등... 
<b>결막염</b> 질문입니다.,"... 만약 <b>결막염 증상</b>이 감염성이 있다면 병원에서 말씀을 드렸을 꺼에요. 빠른 회복을 위해 청결을 해주신 상태에서 약을 잘 사용을 해보시고, 눈의 피로가 쌓이지 안도록 주의를 해주시길 바래요."
<b>결막염</b> 질문!!,"... 반복적으로 <b>결막염 증상</b>이 나타나게 되는 경우에는 최대한 렌즈를 착용하지 않거나, 착용 시간을 줄여주시는 것이 가장 좋습니다. 대표적으로 미세먼지 속의 오염물질 등이 눈에 흡수되게 될 경우 알레르기성 결막염을 일으킬 수... "
<b>결막염 증상</b>,... 초기 <b>결막염 증상</b>은 눈이 충혈되거나 가려움이 있으며 심하면 눈이 부풀거나 끈적한 눈곱이 생깁니다. 이러한 결막염을 예방하기 위해서는 평소 손을 깨끗이 씻고 눈병이 유행할 때는 수영장 등 사람 많은 곳에 가지 않는것이... 
눈에 <b>결막염 증상</b>이 와서 병원에서 처,"눈에 <b>결막염 증상</b>이 와서 병원에서 처방을 받았습니다. 문제는 제가 수유중인데 깜박하고 말을 하지 않았고, 약도 먹고 안약도 넣고 수유를 했는데요. 정신이 번쩍들어서 수유를 중단했는데 아이에게 괜찮을까요?  안녕하세요. 하이닥... "
<b>결막염증상</b>,"... <b>결막염</b>인가요?  안녕하세요. 하이닥-네이버 지식iN 안과 상담의 임병각 입니다. 서면상의 <b>증상</b>만으로 정확하게 진단하여 말씀 드리기 어려움이 있습니다. 눈꺼풀 염증이 있으면 이물감을 호소할 수 있습니다. 또한, 다래끼 <b>증상</b>일 경우... "
"세균성 <b>결막염 증상</b>,지속기간",... <b>결막염</b>은 발병 후 치료를 하여도 <b>증상</b>이 일주일 까지 심해지며 이후 <b>증상</b>이 완화되고 2~3주 정도 지나면서 완치가 되지만 심한경막염이라면 4주 정도의 경과를 거칠 수 있습니다. 안과에 방문하여 다시한번 진료를 받고 처방을 받아... 
<b>결막염</b>초기<b>증상</b>,"안녕하세요 제가 렌즈를끼고 나서부터 계속 눈이가렵고,,검은자밑부분이약간 빨게지는데요 친구말로는 <b>결막염</b>초기<b>증상</b>이라고 하는데 정말 <b>결막염</b> 초기<b>증상</b>이맞나요? 맞다면 그냥 약국에서 파는안약으로 다치료할수있나요?... "
<b>결막염</b> 인가요?,"... 말씀해주신 빨간 눈과 부풀어 오름 현상은 <b>결막염</b>의 일반적인 <b>증상</b>입니다. <b>결막염</b>은 결막의 염증으로 인해 발생하는 질환으로, 눈이 붉고 부어 오르며 가려움증, 눈물, 눈 건조, 이물감 등의 <b>증상</b>을 동반할 수 있습니다. 이러한... "
"눈 지직거림, <b>결막염</b> 치료","... 가끔 블러처리된것처럼 뿌옇고 어두운 곳에 들어가면 빛번짐이 심해지는데, 이거는 <b>결막염 증상</b>이라고 눈이 다 나으면 괜찮아진다고 들었습니다. 근데 얼마전부터 눈을 감았다 뜰때마다 지지직 거리는 티비화면이 제 눈에서 계속... "
<b>결막염</b>인 것 같은데요..,"... 근데 이제는 다 나아도 렌즈 끼면 한 네다섯시간 후에 <b>결막염 증상</b>이 동반됩니다. 눈 빨개지고 젖은 눈꼽 수시로 끼고요ㅠㅠ 렌즈끼면 아무리 결막염이 자주 걸린다고 해도 벌써 한달 내에 네다섯번은 이런 것 같은데, 혹시 결막염이... "
<b>결막염</b> 비슷한 <b>증상</b>,"... <b>결막염</b>과 비슷한 <b>증상</b>이라면 눈이 뻑뻑하고 빨갛게 보이며 뿌옇게 보일 수 있는 이유는 다양합니다. 그 중 하나는 만성 거칠고 뾰족한 눈꼽이 눈 결막을 자극하고 염증을 일으킬 수 있기 때문일 수 있습니다. 또한, 눈 건조로 인한 염증... "
<b>결막염</b>원인,... 유행성 결막염에 결렸다고 하더라도 상태가 심하지 않는 경우에는 자연치유 즉 회복이 되는 경우가 있을 수 있지만 매면 반복적으로 <b>결막염 증상</b>이 나타나게 된다면 안과에 가셔서 꼭 진료를 보시는 것이 좋습니다. 일시적인 알레르기... 
<b>결막염</b> 걸린지 12일째고 안약도 일주,"... <b>결막염</b>을 제대로 치료하지 않고 렌즈를 계속해서 착용하게 된다면 나중에는 각막염으로, 만성 <b>결막염</b>으로 <b>증상</b>이 심해질 수 있습니다. <b>결막염</b>의 치료 기간은 개개인마다 달라질 수 있으나 알레르기성 <b>결막염</b>의 경우 2~3일 소요... "
<b>결막염</b> 때문에 어제 안과에서 안약 받,결막염 때문에 어제 안과에서 안약 받아온 중학생입니다 <b>결막염 증상</b>에 시력저하도 있다고 하는데 저도 해당해요 결막염 다 나으면 시력 차차 되돌아오나요??  안녕하세요. 하이닥-네이버 지식iN 상담의 류익희 입니다. 관리만 잘 해도... 
"눈이 찔렸는데, 증상을 찾아보니 <b>결막염 증상</b>(눈꼽, 충혈... ","... 눈이 찔렸는데, 증상을 찾아보니 <b>결막염 증상</b>(눈꼽, 충혈, 눈부종 등)과 일치해서 여쭤봅니다. 지금 전체 증상은, 눈꼽, 충혈, 눈물, 눈부종, 혼탁해보임 등 입니다. 치료방법은 무엇인가요?  안녕하세요. 하이닥-네이버 지식iN 상담의... "
<b>결막염 증상</b>,이거 혹시 <b>결막염</b>인가요 ㅠㅠ? 눈동자 주위에 빨간 반점이 있는 것 처럼 빨개요.. 며칠전에는 완전 충혈되었다가... 염증이 있으면 가려움증과 눈곱 충혈 등 다른 <b>증상</b>도 생깁니다. 혹시 그런 <b>증상</b>이 있으면 안과에 가셔서 확인해... 
바이러스 <b>결막염</b>,... 보통은 알레르기<b>결막염</b>이나 유행성<b>결막염</b>의 초기 <b>증상</b>이 비슷하기 때문에 안과에 가셔서 검사만으로는 병원에서도 확실하게 판결해 내기는 어렵습니다. 기본적으로는 검사 할 때 세극등현미경 검사를 통해서 눈 밑꺼풀을 뒤집어 본... 
<b>결막염증상</b>,"... <b>결막염 증상</b>은 눈꼽, 충열 등등이 있는데 저는 눈꼽은 잘 안끼는 편이구요 충열은 눈이 간지러워서 긇으면 충열이 되요 안약을 넣어두 한 30분 후면 계속 반복해서 간지러워요 근데 안약을 안넣어두 마찬가지인것같은데 왠지 안약을... "
<b>결막염</b> 안과,... 유행성 결막염에 결렸다고 하더라도 상태가 심하지 않는 경우에는 자연치유 즉 회복이 되는 경우가 있을 수 있지만 매면 반복적으로 <b>결막염 증상</b>이 나타나게 된다면 안과에 가셔서 꼭 진료를 보시는 것이 좋습니다. 대표적으로... 
<b>결막염 증상</b>에 대해 문의드립니다.,제가 요즘 <b>결막염</b> 때문에 병원을 다니고 있는데요 다닌지는 일주일 정도... eye 1004 입니다..^^ <b>결막염</b>은 잘 낫지 않고 2주이상 가는 경우가 많습니다...... <b>결막염</b>을 잘 치료하지 않으면 완치되고도 휴유증이 남을수도 있습니다. 의사... 
"알레르기성 비염,<b>결막염</b>에 베포틴정",... 저는 지르텍으로 말씀드렸는데 부모님이 베포틴정으로 처방받아 오셔서 검색해보니 지르텍에는 효능효과에 <b>결막염 증상</b>이 있는데 베포틴정에는 피부적인 증상들이 주로 있길래 질문해봅니다  안녕하세요. 하이닥-네이버 지식iN... 
<b>결막염</b>인거 같은데 드임 렌즈 넣어도 되나요? 급해요 ㅠㅠ,... <b>결막염 증상</b>이 생겼을 때는 눈에 자극을 주는 행동은 피해주셔야 합니다. 그러니 드림렌즈 사용은 피해주세요. 빠른 회복을 위해서라면 렌즈 사용은 최대한 자제해 주시고 약을 처방 받아 적절히 사용을 해주시는 것이 중요하니... 
알레르기<b>결막염</b>이 있는데 라식수술이가능한가요,... 알레르기성 <b>결막염 증상</b>을 진정 시킨 후 수술이 가능하니 걱정하지 않으셔도 됩니다. 각막에 문제가 있는 것이 아니라면 왠만하면 가능합니다. 가장 중요한 것은 질문자님에게 맞는 시력교정술을 하시는 것이니 만약 수술을... 
눈병(<b>결막염</b>)<b>증상</b> 인가요?,"... 계속 불편하시면 병원에 가보시는것이 좋아요, <b>결막염증상</b>으로는 간지러움, 눈꼽낌, 눈빠질것같은 통증, 피로함, 시림 등이 있어요. 렌즈끼다보면 각ᆞ결막염등의 안구염증의 원인이 되기도 하는 안구건조가 생길수 있으니... "
<b>결막염</b> 안약 재사용 가능한가요?,... 근데 오늘 오랜만에 렌즈를 끼고나서 눈에 이물감이 느껴져서 속눈썹인 줄 알았는데 <b>결막염 증상</b>과 동일하다는 걸 깨달았습니다. 기존에 사용했던 세균성 결막염 안약을 다시 사용해도 될까요? 다시 안과에 가서 진단을... 
<b>결막염</b>-&gt; 2주차 헤르페스-&gt; 포도막염 진단받았습니다.,"... 포도막염은 홍채, 모양체, 맥락막 등으로 구성된 부위에 염증이 생기는 것을 말하며, <b>증상</b>으로는 <b>결막염</b>과 비슷하게 빛을 볼 때 통증을 느끼거나 눈물이 과다하게 분비되는 <b>증상</b>으로 눈이 충혈되면서 주위가 벌겋게 되는 <b>증상</b>이... "
알레르기성 <b>결막염</b> 렌즈껴도 되나요?,"... 결막염에 결렸다고 하더라도 상태가 심하지 않는 경우에는 자연치유, 즉 회복이 되는 경우가 있을 수 있지만 매면 반복적으로 <b>결막염 증상</b>이 나타나게 되는 경우에는 최대한 렌즈를 착용하지 않거나, 착용 시간을 줄여주시는 것이 가장... "
알레르기는 아닌데 <b>결막염</b> 치료 받아야 할까요?... ,"... <b>결막염증상</b>이 나타났을 때 바로 치료하는 특효약은 없으며 각 증상에 따른 치료를 해야합니다. 하지만 함부로 약을 사용할 경우 녹내장, 각막궤양 등의 합병증이 발생할 수 있으므로 전문의의 처방을 따르는 것이 좋습니다. 냉찜질은... "
알레르기 <b>결막염</b> 진단을 받았습니다,"... 무서운데 <b>결막염 증상</b>에 피도 나오나요...? 사진 첨부합니다  안녕하세요. 하이닥-네이버 지식iN 상담의 장진호 입니다. 급성 출혈성 결막염인것 같습니다. 흔히 아폴로 눈병이라고도 불리는데, 일종의 바이러스성 결막염이며 어떤... "
<b>결막염</b>인가요,"... <b>결막염</b>의 대표적인 <b>증상</b>은 충혈과, 따가움 또는 가려움과 같은 통증이 나타나는 것입니다. 충혈과 함께 눈에 다른 통증이나 건조함, 붓기 등의 이상 <b>증상</b>이 동반된다면, <b>결막염</b>일 가능성이 높기에 적절한 대처를 하는 것이... "
"산동검사 후 다래끼, <b>결막염증상</b>",... 근데 병원을 다녀온후 <b>결막염</b>증세로 다른안과에서 안약처방을 받았습니다. 저는 다래끼 <b>결막염</b>은 어른이 된후 걸린적이 없습니다. 검사를 하러 갔다가 병만 얻고 왔는데요... 다른분들도 망막검사받고 다 이러십니까? 아니면... 
<b>결막염</b>이랑 다래끼를 헷갈릴수있나요?,... 오늘 아침 다래끼인줄 알고 갔는데 안과가서 진료받고 약 처방받고 왔는데 검색해보니 <b>결막염 증상</b>이랑 비슷해서요 눈 붓고 뭐 만져지고 아픈데 끈적한 눈곱도 나와요 다래끼약이랑 결막염약이랑 많이 다른가요? 담주... 
알레르기성<b>결막염증상</b>인가요?,... <b>결막염</b>인가요 ㅠㅠ.... 아어떻게하면 좀괜찮아지나요..언제나을까요?  음.. 글쎄여. 제가 개털 알레르기 <b>결막염</b>... 보자고 해서 가봣는데 알레르기성<b>결막염</b>이래요. 어쩌면 다른병이있을수도있으니. 제일 정확한방법인 안과를 가보세요.
알레르기성 <b>결막염</b> 재발?,... 전에 안과가서 안약 꾸분히 넣다가 괜찮아져서 안넣었는데 갑자기 오늘 눈알에 핏줄 같은게 많아졌어요 가끔 이물감도 느껴지고(속눈썹은 아님) 이거 알레르기성 <b>결막염 증상</b> 다시 재발 된거죠? 안과 가봐야 하나요 안약넣너도 소용... 
<b>결막염증상</b>인가요?ㅠㅠ,... <b>결막염</b>은 끈적한 눈꼽이 많이 끼고 눈위아래가 퉁퉁붓고 가려우면서 충혈이 되요ㅠㅠ 계속 건드시면 <b>증상</b> 더 심히니지니까 올로텐플러스랑 하메론 넣어주세요! 저도 렌즈껴서 <b>결막염</b> 걸려가지구 안과갔는데 둘 다 저 인공눈물... 
<b>결막염</b> 비슷한 <b>증상</b>,"... 눈이 뻑뻑하고 빨갛게 변하며 눈앞이 뿌옇게 보이는 <b>증상</b>은 <b>결막염</b>과 유사한 <b>증상</b>일 수 있습니다. <b>결막염</b>은 결막에 염증이 생기는 질환으로, 눈이 따가워지고 붉어지며 눈꼽이 많이 생길 수 있습니다. 하지만 <b>결막염</b>은 일반적으로... "
<b>결막염 증상</b>,... 보통 아폴로 눈병이 일주일 정도면 치료되고 각막염으로 악화되지 않는데 반해 유행성 각<b>결막염</b>은 경과가 길고 불편한 <b>증상</b>의 지속기간이 길고 후유증을 남길 수 있습니다. 바이러스는 끊임없이 변이를 일으키기 때문에 효과적인... 
"알레르기, 전염성 <b>결막염</b> 차이","... <b>결막염</b>의 경우 충혈, 이물감, 통증, 눈곱, 눈물, 시림 등은 질환에서 공통적으로 나타나는 <b>증상</b>입니다. <b>결막염</b>은 초기에는 치료가 수월한 반면, 시간이 지나 만성화되면 치료기간도 길고 완치되는 것도 어렵습니다. <b>결막염</b>의... "
<b>결막염</b>인가요??,... 이미지로만 봐서는 <b>결막염 증상</b>인지 파악을 할 수 없습니다. 우선 따갑거나 눈꼽이 자주 생긴다면 의심을 해볼 수 있는데요. 증상이 악화 되기 전에 치료를 받는 것이 도움이 될 수 있으니 참고하시길 바래요.
<b>결막염 증상</b>,... 지금 위와같은 <b>증상</b>들이 나타난다면..<b>결막염</b>일 가능성이 커보입니다. 어떤 원인으로 생기는 것인지는 병원에 가셔서 확인해보셔야 알수 있습니다. 우선 불편하시더라도 만지거나 비비지 마시기 바랍니다. 많이 가려우시면... 
알레르기 <b>결막염</b>이 오래 지속되면,현재 알레르기 결막염을 두 달 넘게 앓고 있습니다 안약을 계속 넣고 있어 생활에 엄청 큰 불편을 느끼지는 않지만 완치되고 있지는 않습니다 알레르기 원인을 도통 알 수가 없어서 알레르기 <b>결막염 증상</b>이 앞으로도 지속될 것 같은데... 
안과 다녀온 후 <b>결막염 증상</b> 같은데 레이저 꼭 해야... ,"... 집에와서 질병분류기호로 검색해보니, <b>결막염</b> 정도인데, 처방받은 점안액 만으로는 치료가 안되는것인가요? 꼭 레이저치료를 해야 하는것인가요? 점안액을 넣고, 눈이 좀 편해지면 레이저 치료 꼭 할 필요가 있을까요? 궁금합니다.... "
딱히 <b>결막염증상</b>이 없는데 병원에서는 결막염이라고... ,... 저는 오른쪽눈이 불편한데 다른 안과 가봐야하나요ㅜㅜ 충혈이되거나 따끔거림등의 <b>증상</b>이 없었나요? 다래끼 <b>증상</b>이 있다면 <b>결막염</b>약 복용해줘도 됩니다 시력이 저하되고 충혈등의 <b>증상</b>이 없다면 다른 안과로 가보세요 
<b>결막염</b> 안약 질문드립니다(바로채택함),"안녕하세요 근시 및 알러지 결막염을 앓고 있는 남성인데요 다름이 아니라 제가 안구건조증도 있어서 아이히알, 파타아인, 아이플루 이렇게 세개를 받았는데요 약사한테 물어보니 파타아인이랑 아이플루는 <b>결막염 증상</b>이 심할경우에만... "
고양이 <b>결막염</b>,이게 <b>결막염 증상</b>일까요? 저번에도 <b>결막염 증상</b>이 약간 있어서 병원 갔다왔는데 이것도 결막염인가싶네요 ㅠ 어제까지는 멀쩡하더니 오늘 오후에 집에 와서 봤는데 이렇게 됐습니다 ㅠ 지금은 못 가고 병원은 내일 아침에 가야겠네용.. ㅠ... 
멍뭉미 시츄 키우는데요 <b>결막염 증상</b>같은데 주변... ,"... 다른 애들이면 몰라도 시츄는 눈이 좀 튀어나온 애라서 가렵다고 얼굴 긁다가 안구(눈알)를 긁어서 <b>결막염</b>이 더 심해지거나 감염 <b>증상</b>이 나타날지도 몰라요, 특히 시츄는 눈 관련 질병에 잘 걸리는 애라 빨리 가보시는게 좋을거같네요... "
애완토끼 <b>결막염</b> 의심 <b>증상</b> . 치료,안녕하세요 ㅜㅜㅜ마당에사ㅜ기르는 토끼가 눈이 한쪽을 못뜨길래 토끼카페에 올려보니까 <b>결막염</b>이 의심된대요ㅠㅠ... 제가 동영상이랑 사진으러 자세하게 찍어가서ㅜ<b>결막염</b>치료약 받을수있는지 궁금해여  사람도 <b>결막염</b>이 걸리면... 
알레르기성 <b>결막염</b>,"... 결막염에 결렸다고 하더라도 상태가 심하지 않는 경우에는 자연치유, 즉 회복이 되는 경우가 있을 수 있지만 매면 반복적으로 <b>결막염 증상</b>이 나타나게 되는 경우에는 최대한 렌즈를 착용하지 않거나, 착용 시간을 줄여주시는 것이 가장... "
<b>결막염</b>일까요?,"제가 결막염 걸려본적 있는데 가려움 빼고 <b>결막염 증상</b>이랑 겹치는게 없어요 충혈도 안됐고 눈곱은 하나도 안꼈고요 안녕하세요! 강남역 8번 출구에 위치한 글로리서울안과 입니다. 눈에 가려움증이 생기는 원인은 다양한데요, 그 중에서... "
길고양이 <b>결막염</b>,... 검색해보니 <b>결막염 증상</b>이라 비슷한 것 같아서요 1. 결막염 맞나요? 2. 학생인 제 입장에서 이 결막염을 해결하려면 어떤 도움을 줄 수 있을까요? 동물약국에서 약이라도 사야할까요? 병원에 데려간다면 비용은 얼마나 나올까요 ㅠㅠ... 
유행성 <b>결막염 증상</b>인가요?,"... 충혈과 이물감의 <b>증상</b>도 <b>결막염</b>의 <b>증상</b>이 맞습니다. 그러나 안구건조증으로도 이런 <b>증상</b>이 나타나기도 합니다. 유행성 <b>결막염</b>인 경우 일반적인 <b>증상</b>은 작열감(따가운 느낌), 점액성 분비물(눈꼽), 발적, 수명(눈부심) 등이 있으며... "
<b>결막염</b> 때문에 어쩌다보니 거의 한달마다 안과를 가서... ,"... 결막염에 결렸다고 하더라도 상태가 심하지 않는 경우에는 자연치유, 즉 회복이 되는 경우가 있을 수 있지만 매면 반복적으로 <b>결막염 증상</b>이 나타나게 되는 경우에는 최대한 렌즈를 착용하지 않거나, 착용 시간을 줄여주시는 것이... "
고양이 백내장?<b>결막염</b>? 포도막염?..,5개월 된 고양인데 일주일쯤 전부터 <b>결막염 증상</b>이 있었는데 괜찮아졌다가 오늘 보니까 갑자기 한쪽 눈이 불투명해졌어요ㅜ 혹시 백내장인가요 아니면 결막염때문에 그런건가요??. 오른쪽 눈 오른쪽 부분에 불투명한 물질은 눈곱이라... 
<b>결막염</b>에 일반안약,... <b>결막염 증상</b>인거 같은데 일단 약국에서 파는 일반안약 넣고 온찜질 해줘도 되나요? 귀하증세로봐선 결막염등 의심됩니다 손대시면안되고요 큰병원 안과캐어하세요 검사통해 정확한진단과 치료도움줄거로봅니다. 
"<b>결막염</b>이요 ㅠ,ㅠ",제가 LED 조명기구키고 촬영을한 이틀동안2시간 정도했는데 빛이 많이밝긴밝았어요 다음날아침에 눈뜨자마자 눈밑이조금붓고 <b>결막염 증상</b> 나타나는데 조명이이유일수있을까요 ?... 조명빛이 쎄긴쎕니다  여러가지 이유가... 
제가 <b>결막염</b> 다 나은줄 알고 일주일,... 안녕하세요 다비치안경 용암동점입니다. <b>결막염 증상</b>이 나타난다면 완전히 치유되기 전까지는 렌즈착용은 안하시는것이 좋습니다. 안약 넣어보셔도 증상이 지속된다면 가까운 안과에 방문하셔서 진료받아보시길 권합니다. 감사합니다.
눈이 부었어요 <b>결막염 증상</b> 맞나요?,"처방받은 약을 넣어서 이제 눈동자는 맑은데 눈썹부터 눈두덩이, 그리고 눈 아래까지 붉게 부어올랐고 가려워요 엄청 아프고요  알러지.<b>결막염</b>.다래끼등 의심할수있습니다. 상태봐야체크됩니다 큰병원 안과캐어하세요 검사통해... "
<b>결막염</b> 걸리면 어떻게 되나요,"... 따라서, <b>결막염</b>의 <b>증상</b>이 심하거나 지속적으로 나타날 경우에는 즉시 안과 전문의를 방문하여 진단과 치료를 받는 것이 좋습니다. 눈이 아픈 경우에는 다음과 같은 조치를 취할 수 있습니다: 1. 눈을 깨끗하게 유지하기 위해 손을 자주... "
이거 <b>결막염증상</b>인가요,... 그런게 보이는거 같은데 이거 <b>결막염</b>인가요? 지금 안과에도 못가서 불안해요ㅜ <b>결막염</b>은 따뜻한 소금물을 묽게 희석해 씻어주면 되네요 아플거라는 고정관념 버리고 하셔요 피부염도가 0.3%이면 피는 0.9%네요 그러니 싱겁게 만들어... 
(안과) 이게 알레르기성 <b>결막염 증상</b> 맞나요? 그리고... ,"... 제 <b>증상</b>이 알레르기성 <b>결막염</b>이 맞는지 궁금하고, 그 치료 방법이 있는지도 궁금합니다. 일단 제 나이는 30대 중반입니다. 제 기억이 맞다면 20대 초반부터 이런 <b>증상</b> 계속 있었습니다. 피부도 아토피성이...(얼굴에만...) 계절이나 털, 풀... "
